Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,90171,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,79309,"Santa Clarita, CA",278031,88,DR,Demand Response,PT,22,4533297,,1105890,,581916,,2978479,,0,,9199582,,0,
"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,90171,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,79309,"Santa Clarita, CA",278031,88,MB,Bus,PT,44,7320052,,1785724,,939585,,4809151,,0,,14854512,,0,
"Transit Joint Powers Authority for Merced County, dba: Merced The Bus",Merced,CA,90173,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,56251,"Merced, CA",150052,45,DR,Demand Response,PT,17,2154647,,235154,,245993,,549790,,0,,3185584,,0,
"Transit Joint Powers Authority for Merced County, dba: Merced The Bus",Merced,CA,90173,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,56251,"Merced, CA",150052,45,MB,Bus,PT,28,9138393,,2535782,,864593,,1863717,,0,,14402485,,0,
"City of Lodi, dba: GrapeLine",Lodi,CA,90175,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,50851,"Lodi, CA",73090,13,DR,Demand Response,PT,5,0,,0,,0,,0,,1486560,,1486560,,0,
"City of Lodi, dba: GrapeLine",Lodi,CA,90175,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,50851,"Lodi, CA",73090,13,MB,Bus,PT,8,0,,0,,0,,0,,3061088,,3061088,,0,
Altamont Corridor Express,Stockton,CA,90182,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,85087,"Stockton, CA",414847,28,CR,Commuter Rail,PT,28,18692131,,3016766,,1210556,,15787359,,0,,38706812,,0,
"Town of Oro Valley, dba: Sun Shuttle Dial-A-Ride",Oro Valley,AZ,90191,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,88732,"Tucson, AZ",875441,30,DR,Demand Response,DO,30,0,,0,,0,,0,,2125230,,2125230,,0,
City of Atascadero,Atascadero,CA,90194,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,27261,"El Paso de Robles (Paso Robles)--Atascadero, CA",67804,2,DR,Demand Response,PT,2,0,,0,,0,,0,,444275,,444275,,0,
"County of Placer, dba: Placer County Transit/TART",Auburn,CA,90196,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,77068,"Sacramento, CA",1946618,42,CB,Commuter Bus,DO,2,329870,,15099,,7572,,24303,,0,,376844,,0,
"County of Placer, dba: Placer County Transit/TART",Auburn,CA,90196,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,77068,"Sacramento, CA",1946618,42,DR,Demand Response,PT,20,2907245,,1091525,,144534,,1480658,,0,,5623962,,0,
"County of Placer, dba: Placer County Transit/TART",Auburn,CA,90196,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,77068,"Sacramento, CA",1946618,42,MB,Bus,DO,17,6860439,,1696813,,432542,,1689703,,0,,10679497,,0,
"County of Placer, dba: Placer County Transit/TART",Auburn,CA,90196,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,77068,"Sacramento, CA",1946618,42,MB,Bus,PT,2,222755,,56632,,13482,,175305,,0,,468174,,0,
"County of Placer, dba: Placer County Transit/TART",Auburn,CA,90196,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,77068,"Sacramento, CA",1946618,42,VP,Vanpool,PT,1,10242,,1386,,801,,19325,,0,,31754,,0,
"City of Tracy, dba: TRACER",Tracy,CA,90197,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,88280,"Tracy--Mountain House, CA",120912,15,DR,Demand Response,PT,4,0,,0,,0,,0,,1748682,,1748682,,0,
"City of Tracy, dba: TRACER",Tracy,CA,90197,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,88280,"Tracy--Mountain House, CA",120912,15,MB,Bus,PT,11,0,,0,,0,,0,,4281256,,4281256,,0,
"City of Madera, dba: Madera Metro",Madera,CA,90199,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,52984,"Madera, CA",81635,22,DR,Demand Response,PT,8,0,,0,,0,,0,,1351313,,1351313,,0,
"City of Madera, dba: Madera Metro",Madera,CA,90199,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,52984,"Madera, CA",81635,22,MB,Bus,PT,14,0,,0,,0,,0,,1949330,,1949330,,0,
Kings County Area Public Transit Agency,Hanford,CA,90200,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,36703,"Hanford, CA",66638,68,DR,Demand Response,PT,8,1096182,,234524,,22479,,166342,,0,,1519527,,0,
Kings County Area Public Transit Agency,Hanford,CA,90200,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,36703,"Hanford, CA",66638,68,MB,Bus,PT,15,3461797,,1120690,,199285,,1165961,,0,,5947733,,0,
Kings County Area Public Transit Agency,Hanford,CA,90200,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,36703,"Hanford, CA",66638,68,VP,Vanpool,PT,45,235808,,19026,,1302,,264238,,0,,520374,,0,
"City of Turlock, dba: Turlock Transit",Turlock,CA,90201,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,89083,"Turlock, CA",79203,13,DR,Demand Response,PT,2,150339,,59213,,75710,,314715,,0,,599977,,0,
"City of Turlock, dba: Turlock Transit",Turlock,CA,90201,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,89083,"Turlock, CA",79203,13,MB,Bus,PT,11,1348780,,299078,,353313,,1666374,,0,,3667545,,0,
San Luis Obispo Regional Transit Authority,San Luis Obispo,CA,90206,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,79147,"San Luis Obispo, CA",56904,38,DR,Demand Response,DO,15,2616853,,1016565,,102736,,716243,,0,,4452397,,0,
San Luis Obispo Regional Transit Authority,San Luis Obispo,CA,90206,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,79147,"San Luis Obispo, CA",56904,38,MB,Bus,DO,23,6246027,,2154229,,154105,,1716613,,0,,10270974,,0,
"Butte County Association of Governments, dba: Butte Regional Transit/B-Line",Chico,CA,90208,"MPO, COG or Other Planning Agency",Full Reporter,2024,16318,"Chico, CA",111411,37,DR,Demand Response,PT,13,1759495,,507655,,79040,,422156,,0,,2768346,,0,
"Butte County Association of Governments, dba: Butte Regional Transit/B-Line",Chico,CA,90208,"MPO, COG or Other Planning Agency",Full Reporter,2024,16318,"Chico, CA",111411,37,MB,Bus,PT,24,5239481,,1456167,,528554,,1662411,,0,,8886613,,0,
"Valley Metro Rail, Inc.",Phoenix,AZ,90209,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2024,69184,"Phoenix--Mesa--Scottsdale, AZ",3976313,37,LR,Light Rail,PT,34,26737441,,13886096,,15486421,,19021556,,0,,75131514,,0,
"Valley Metro Rail, Inc.",Phoenix,AZ,90209,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2024,69184,"Phoenix--Mesa--Scottsdale, AZ",3976313,37,SR,Streetcar Rail,PT,3,3258238,,460503,,698730,,736449,,0,,5153920,,0,
"Anaheim Transportation Network, dba: Anaheim Regional Transportation",Anaheim,CA,90211,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,62,DR,Demand Response,PT,13,1774357,,329129,,42223,,842777,,0,,2988486,,0,
"Anaheim Transportation Network, dba: Anaheim Regional Transportation",Anaheim,CA,90211,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,62,MB,Bus,PT,49,10498747,,1464286,,260679,,4449784,,0,,16673496,,0,
"City of Petaluma, dba: Petaluma Transit",Petaluma,CA,90213,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,68887,"Petaluma, CA",65227,11,DR,Demand Response,PT,4,437934,,126133,,13620,,425699,,0,,1003386,,0,
"City of Petaluma, dba: Petaluma Transit",Petaluma,CA,90213,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,68887,"Petaluma, CA",65227,11,MB,Bus,PT,7,1220741,,483197,,183540,,1449376,,0,,3336854,,0,
"City of Redondo Beach, dba: Beach Cities Transit",Redondo Beach,CA,90214,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,17,DR,Demand Response,PT,4,447030,,115983,,8672,,219300,,0,,790985,,0,
"City of Redondo Beach, dba: Beach Cities Transit",Redondo Beach,CA,90214,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,17,MB,Bus,PT,13,2504835,,564531,,421916,,1087978,,0,,4579260,,0,
Carson Area Metropolitan Planning Organization,Carson City,NV,90215,"MPO, COG or Other Planning Agency",Reduced Reporter,2024,14158,"Carson City, NV",61629,10,DR,Demand Response,PT,6,0,,0,,0,,0,,562445,,562445,,0,
Carson Area Metropolitan Planning Organization,Carson City,NV,90215,"MPO, COG or Other Planning Agency",Reduced Reporter,2024,14158,"Carson City, NV",61629,10,MB,Bus,PT,4,0,,0,,0,,0,,1647933,,1647933,,0,
"County of Sacramento Municipal Services Agency, dba: South County Transit",Sacramento,CA,90216,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,77068,"Sacramento, CA",1946618,12,CB,Commuter Bus,PT,4,0,,0,,0,,0,,401297,,401297,,0,
"County of Sacramento Municipal Services Agency, dba: South County Transit",Sacramento,CA,90216,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,77068,"Sacramento, CA",1946618,12,DR,Demand Response,PT,7,0,,0,,0,,0,,1535663,,1535663,,0,
"County of Sacramento Municipal Services Agency, dba: South County Transit",Sacramento,CA,90216,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,77068,"Sacramento, CA",1946618,12,MB,Bus,PT,1,0,,0,,0,,0,,573160,,573160,,0,
"City of Manteca, dba: Manteca Transit",Manteca,CA,90217,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,54145,"Manteca, CA",86674,6,DR,Demand Response,PT,2,0,,0,,0,,0,,852588,,852588,,0,
"City of Manteca, dba: Manteca Transit",Manteca,CA,90217,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,54145,"Manteca, CA",86674,6,MB,Bus,PT,4,0,,0,,0,,0,,2699862,,2699862,,0,
Riverside County Transportation Commission,Riverside,CA,90218,"MPO, COG or Other Planning Agency",Full Reporter,2024,75340,"Riverside--San Bernardino, CA",2276703,37,VP,Vanpool,PT,37,214171,,30446,,713,,406910,,0,,652240,,0,
"Northern Arizona Intergovernmental Public Transportation Authority, dba: Mountain Line",Flagstaff,AZ,90219,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,29818,"Flagstaff, AZ",79842,33,DR,Demand Response,DO,4,503595,,92724,,39598,,261698,,0,,897615,,0,
"Northern Arizona Intergovernmental Public Transportation Authority, dba: Mountain Line",Flagstaff,AZ,90219,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,29818,"Flagstaff, AZ",79842,33,MB,Bus,DO,18,5699104,,1114470,,405637,,2841211,,0,,10060422,,0,
"Northern Arizona Intergovernmental Public Transportation Authority, dba: Mountain Line",Flagstaff,AZ,90219,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,29818,"Flagstaff, AZ",79842,33,VP,Vanpool,PT,11,28746,,4781,,54,,63710,,0,,97291,,0,
Pima Association of Governments,Tucson,AZ,90222,"MPO, COG or Other Planning Agency",Full Reporter,2024,88732,"Tucson, AZ",875441,20,VP,Vanpool,PT,20,64056,,9896,,1645,,135644,,0,,211241,,0,
"Paratransit, Inc.",Sacramento,CA,90223,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,77068,"Sacramento, CA",1946618,38,DR,Demand Response,DO,26,1720976,,502632,,122122,,596080,,0,,2941810,,0,
"Paratransit, Inc.",Sacramento,CA,90223,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,77068,"Sacramento, CA",1946618,38,MB,Bus,DO,12,51157,,16422,,4461,,36805,,0,,108845,,0,
"San Francisco Bay Area Water Emergency Transportation Authority, dba: San Francisco Bay Ferry",San Francisco,CA,90225,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,78904,"San Francisco--Oakland, CA",3515933,11,FB,Ferryboat,PT,11,31564334,,10978250,,5658448,,12123066,,0,,60324098,,0,
Imperial County Transportation Commission,El Centro,CA,90226,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,26405,"El Centro, CA",74376,38,DR,Demand Response,PT,20,2235728,,938116,,477533,,1174618,,0,,4825995,,0,
Imperial County Transportation Commission,El Centro,CA,90226,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,26405,"El Centro, CA",74376,38,MB,Bus,PT,18,2855030,,935609,,385713,,968432,,0,,5144784,,0,
"City of Moorpark, dba: Moorpark City Transit",Moorpark,CA,90227,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,87490,"Thousand Oaks, CA",213986,2,MB,Bus,PT,2,0,,0,,0,,0,,1113587,,1113587,,0,
"El Dorado County Transit Authority, dba: El Dorado Transit",Diamond Springs,CA,90229,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2024,77068,"Sacramento, CA",1946618,18,CB,Commuter Bus,DO,4,0,,0,,0,,0,,938353,,938353,,0,
"El Dorado County Transit Authority, dba: El Dorado Transit",Diamond Springs,CA,90229,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2024,77068,"Sacramento, CA",1946618,18,DR,Demand Response,DO,7,0,,0,,0,,0,,2224064,,2224064,,0,
"El Dorado County Transit Authority, dba: El Dorado Transit",Diamond Springs,CA,90229,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2024,77068,"Sacramento, CA",1946618,18,MB,Bus,DO,7,0,,0,,0,,0,,4789425,,4789425,,0,
"California Vanpool Authority, dba: CalVans",Visalia,CA,90230,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,90946,"Visalia, CA",160578,736,VP,Vanpool,DO,736,7695631,,1789240,,32558,,4144515,,0,,13661944,,0,
"Solano County Transit, dba: SolTrans",Vallejo,CA,90232,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,90028,"Vallejo, CA",175132,37,CB,Commuter Bus,PT,16,4142789,,1450539,,450874,,3744813,,0,,9789015,,0,
"Solano County Transit, dba: SolTrans",Vallejo,CA,90232,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,90028,"Vallejo, CA",175132,37,DR,Demand Response,PT,6,720112,,191535,,11504,,623023,,0,,1546174,,0,
"Solano County Transit, dba: SolTrans",Vallejo,CA,90232,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,90028,"Vallejo, CA",175132,37,MB,Bus,PT,15,3554544,,685048,,273034,,3263207,,0,,7775833,,0,
"Yuma County Intergovernmental Public Transportation Authority, dba: Yuma County Area Transit",Yuma,AZ,90233,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,98020,"Yuma, AZ--CA",135717,55,DR,Demand Response,PT,5,153156,,40369,,8129,,87849,,0,,289503,,0,
"Yuma County Intergovernmental Public Transportation Authority, dba: Yuma County Area Transit",Yuma,AZ,90233,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,98020,"Yuma, AZ--CA",135717,55,MB,Bus,PT,15,2830574,,764141,,148271,,1816722,,0,,5559708,,0,
"Yuma County Intergovernmental Public Transportation Authority, dba: Yuma County Area Transit",Yuma,AZ,90233,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,98020,"Yuma, AZ--CA",135717,55,VP,Vanpool,PT,35,105599,,14434,,665,,217863,,0,,338561,,0,
"Marin County Transit District, dba: Marin Transit",San Rafael,CA,90234,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,78904,"San Francisco--Oakland, CA",3515933,72,DR,Demand Response,PT,22,2509636,,356918,,177954,,1685598,,0,,4730106,,1541590,
"Marin County Transit District, dba: Marin Transit",San Rafael,CA,90234,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,78904,"San Francisco--Oakland, CA",3515933,72,MB,Bus,PT,50,20334382,,4549689,,339224,,6298090,,0,,31521385,,0,
"County of Kaua'i, dba: Kaua'i Bus",Lihue,HI,90237,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2024,,,,25,DR,Demand Response,DO,13,0,,0,,0,,0,,4420357,,4420357,,0,
"County of Kaua'i, dba: Kaua'i Bus",Lihue,HI,90237,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2024,,,,25,MB,Bus,DO,12,0,,0,,0,,0,,7063896,,7063896,,0,
"City of Delano, dba: Delano Area Rapid Transit",Delano,CA,90238,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,00006,California Non-UZA,4357850,9,DR,Demand Response,DO,5,0,,0,,0,,0,,729475,,729475,,0,
"City of Delano, dba: Delano Area Rapid Transit",Delano,CA,90238,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,00006,California Non-UZA,4357850,9,MB,Bus,DO,4,0,,0,,0,,0,,1761433,,1761433,,0,
"City of Sierra Vista, dba: Vista Transit",Sierra Vista,AZ,90239,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,81901,"Sierra Vista, AZ",54274,7,DR,Demand Response,DO,2,0,,0,,0,,0,,395348,,395348,,0,
"City of Sierra Vista, dba: Vista Transit",Sierra Vista,AZ,90239,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,81901,"Sierra Vista, AZ",54274,7,MB,Bus,DO,5,0,,0,,0,,0,,752918,,752918,,0,
County of Maui,Wailuku,HI,90241,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,43615,"Kahului--Wailuku, HI",57905,62,CB,Commuter Bus,PT,7,1688308,,305463,,3606,,121012,,0,,2118389,,0,
